protocol,N,clients,get_fraction,throughput,get_median,get_p95,put_median,put_p95,succ_get,succ_put,fail
abd,1,1,0.9,6681.5,143,181,143,185,1814,186,0
abd,1,2,0.9,12553.3,154,180,154,178,3594,406,0
abd,1,4,0.9,21895.7,174,217,174,218,7193,807,0
abd,1,8,0.9,33675.7,216,334,216,341,14426,1574,0
abd,1,12,0.9,37101.4,297,434,296,419,21639,2361,0
abd,1,16,0.9,37092.3,399,551,399,556,28860,3140,0
abd,1,20,0.9,36954.9,502,697,502,702,36027,3973,0
abd,1,24,0.9,37250.4,601,803,600,793,43216,4784,0
abd,1,32,0.9,37256,806,1047,806,1054,57492,6508,0
abd,1,1,0.1,6562.41,147,170,147,170,208,1792,0
abd,1,2,0.1,12295.9,158,181,157,183,393,3607,0
abd,1,4,0.1,21597,176,217,176,223,774,7226,0
abd,1,8,0.1,33836.1,217,337,216,336,1549,14451,0
abd,1,12,0.1,37110.3,298,428,297,423,2378,21622,0
abd,1,16,0.1,37201.8,398,563,398,566,3216,28784,0
abd,1,20,0.1,37323.5,499,680,500,669,3881,36119,0
abd,1,24,0.1,37215.2,602,794,602,816,4801,43199,0
abd,1,32,0.1,37164.9,806,1079,805,1072,6305,57695,0
abd,3,1,0.9,5804.84,165,199,165,229,1808,192,0
abd,3,2,0.9,9866.75,193,247,192,241,3590,410,0
abd,3,4,0.9,15936.7,233,339,233,327,7156,844,0
abd,3,8,0.9,20170.5,345,637,344,638,14364,1636,0
abd,3,12,0.9,19655,531,1028,542,1075,21621,2379,0
abd,3,16,0.9,18887.8,763,1422,769,1433,28852,3148,0
abd,3,20,0.9,18932.2,957,1767,961,1769,36050,3950,0
abd,3,24,0.9,16869,1331,2380,1335,2363,43217,4783,0
abd,3,32,0.9,16112.3,1877,3321,1906,3336,57592,6408,0
abd,3,1,0.1,5715.61,166,204,167,199,202,1798,0
abd,3,2,0.1,9754.78,195,250,196,245,395,3605,0
abd,3,4,0.1,15966.2,233,327,233,322,817,7183,0
abd,3,8,0.1,18772.9,358,740,360,751,1566,14434,0
abd,3,12,0.1,18304.5,581,1163,575,1124,2407,21593,0
abd,3,16,0.1,17041.8,869,1619,860,1620,3137,28863,0
abd,3,20,0.1,17833.1,1033,1864,1033,1867,4015,35985,0
abd,3,24,0.1,17009,1307,2322,1323,2339,4824,43176,0
abd,3,32,0.1,16942.6,1761,3132,1782,3172,6389,57611,0
abd,5,1,0.9,5091.27,187,237,186,242,1795,205,0
abd,5,2,0.9,7656.29,236,446,236,470,3588,412,0
abd,5,4,0.9,9783.16,368,617,361,619,7150,850,0
abd,5,8,0.9,9743.84,777,1271,785,1272,14342,1658,0
abd,5,12,0.9,8398.69,1356,2252,1358,2227,21662,2338,0
abd,5,16,0.9,9674.77,1563,2618,1558,2595,28736,3264,0
abd,5,20,0.9,11381.7,1654,2797,1663,2813,36034,3966,0
abd,5,24,0.9,9456.53,2410,4107,2432,4098,43055,4945,0
abd,5,32,0.9,10748.1,2831,4928,2862,4995,57604,6396,0
abd,5,1,0.1,4945.34,192,233,193,239,202,1798,0
abd,5,2,0.1,7951.19,239,319,238,315,397,3603,0
abd,5,4,0.1,9678.1,372,612,370,626,831,7169,0
abd,5,8,0.1,11289.6,669,1041,675,1051,1609,14391,0
abd,5,12,0.1,8825.2,1287,2101,1289,2136,2368,21632,0
abd,5,16,0.1,9393.9,1591,2701,1612,2703,3137,28863,0
abd,5,20,0.1,9361.18,2019,3431,2027,3435,3979,36021,0
abd,5,24,0.1,10754.8,2098,3579,2118,3634,4748,43252,0
abd,5,32,0.1,9878.7,3073,5262,3086,5326,6380,57620,0
blocking,1,1,0.9,4330.08,215,263,288,343,1790,210,0
blocking,1,2,0.9,8549.33,228,266,308,348,3349,367,284
blocking,1,4,0.9,16324.4,253,314,341,431,5798,658,1544
blocking,1,8,0.9,30966.3,296,403,402,543,8530,986,6484
blocking,1,12,0.9,38637.4,174,507,171,681,9689,1061,13250
blocking,1,16,0.9,43469.2,207,655,205,870,9990,1093,20917
blocking,1,20,0.9,47445.1,253,797,253,1071,10056,1156,28788
blocking,1,24,0.9,50376.2,304,958,303,1282,9946,1134,36920
blocking,1,32,0.9,54422.1,408,1275,408,1705,9845,1102,53053
blocking,1,1,0.1,3475.62,214,256,288,328,210,1790,0
blocking,1,2,0.1,6740.65,230,270,311,359,377,3338,285
blocking,1,4,0.1,13284.8,256,311,342,416,625,5679,1696
blocking,1,8,0.1,26509.2,292,394,393,530,881,8007,7112
blocking,1,12,0.1,34745.9,162,505,160,673,990,8409,14601
blocking,1,16,0.1,40434.2,203,635,202,852,948,8459,22593
blocking,1,20,0.1,45325.9,251,793,251,1054,920,8128,30952
blocking,1,24,0.1,49039.6,298,939,298,1236,883,7997,39120
blocking,1,32,0.1,54529.6,396,1210,396,1627,828,7625,55547
blocking,3,1,0.9,3593.6,261,304,347,414,1800,200,0
blocking,3,2,0.9,6124.29,309,407,411,529,3339,387,274
blocking,3,4,0.9,9920.33,389,604,512,761,5697,601,1702
blocking,3,8,0.9,11651.5,649,1203,841,1497,8273,888,6839
blocking,3,12,0.9,13715.1,766,1636,817,2080,8746,977,14277
blocking,3,16,0.9,16636.8,808,1862,832,2315,8796,997,22207
blocking,3,20,0.9,13937.9,1223,2878,1264,3629,8692,978,30330
blocking,3,24,0.9,14039.6,1466,3474,1513,4363,8276,902,38822
blocking,3,32,0.9,16517,1672,3957,1702,4831,7779,853,55368
blocking,3,1,0.1,2856.46,262,320,350,406,214,1786,0
blocking,3,2,0.1,4984.96,308,377,411,521,330,3352,318
blocking,3,4,0.1,8896.14,375,503,499,645,616,5589,1795
blocking,3,8,0.1,10153.5,603,1199,777,1541,859,7731,7410
blocking,3,12,0.1,12264,748,1661,766,2085,886,8237,14877
blocking,3,16,0.1,11846.1,1027,2424,1043,3070,908,8008,23084
blocking,3,20,0.1,15223.7,973,2429,1014,3058,825,7628,31547
blocking,3,24,0.1,14811.9,1289,3091,1288,3820,864,7385,39751
blocking,3,32,0.1,14530.8,1787,4336,1822,5118,755,6798,56447
blocking,5,1,0.9,2533.04,347,505,449,590,1804,196,0
blocking,5,2,0.9,4229.23,428,646,568,805,3302,376,322
blocking,5,4,0.9,5681.31,689,1043,899,1259,5672,590,1738
blocking,5,8,0.9,6621.62,1165,2001,1492,2472,7886,903,7211
blocking,5,12,0.9,6671.41,1646,3226,1698,4146,8456,905,14639
blocking,5,16,0.9,7951.48,1794,3739,1858,4731,8064,867,23069
blocking,5,20,0.9,7381.31,2431,5063,2426,6340,7481,857,31662
blocking,5,24,0.9,8371.34,2583,5392,2603,6596,6852,768,40380
blocking,5,32,0.9,9448.71,3087,6300,3134,7477,5618,659,57723
blocking,5,1,0.1,2320.67,331,375,429,494,192,1808,0
blocking,5,2,0.1,3229.6,433,781,600,934,379,3249,372
blocking,5,4,0.1,5294.17,615,918,813,1146,643,5519,1838
blocking,5,8,0.1,5161.65,1288,2292,1564,2859,857,7519,7624
blocking,5,12,0.1,6919.96,1342,2811,1405,3546,869,7755,15376
blocking,5,16,0.1,6996.2,1855,4066,1878,4953,810,7316,23874
blocking,5,20,0.1,8315.71,1983,4261,2009,5327,760,6857,32383
blocking,5,24,0.1,8376.2,2456,5082,2448,6284,683,6356,40961
blocking,5,32,0.1,9517.03,2953,6051,2978,6993,547,5011,58442
